0,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 9 7945HX,16,32,2,2.5,5.4,0,1024,16,64,0,5,55,100,0,2,0,2200,400
on,AMD Ryzen™ 9 7845HX,12,24,2,3,5.2,0,764,12,64,0,5,55,100,0,2,0,2200,400
on,AMD Ryzen™ 7 7745HX,8,16,2,3.6,5.1,0,512,8,32,0,5,55,100,0,2,0,2200,400
on,AMD Ryzen™ 5 7645HX,6,12,2,4,5,0,384,6,32,0,5,55,100,0,2,0,2200,400
on,AMD Ryzen™ 9 7940HS,8,16,12,4,5.2,0,512,8,16,0,4,45,100,0,2,0,3000,0
on,AMD Ryzen™ 7 7840HS,8,16,12,3.8,5.1,0,512,8,16,0,4,44,100,0,2,0,2900,0
on,AMD Ryzen™ 5 7640HS,6,12,8,4.3,5,0,384,6,16,0,4,44,100,0,2,0,2800,0
on,AMD Ryzen™ 7 7735HS,8,16,12,3.2,4.75,0,512,4,16,0,4,44,95,0,2,0,2200,0
on,AMD Ryzen™ 5 7535HS,6,12,6,3.3,4.55,0,512,3,16,0,4,44,95,0,2,0,1900,0
on,AMD Ryzen™ 7 7735U,8,16,12,2.7,4.75,0,512,4,16,0,4,28,95,0,2,0,2200,0
on,AMD Ryzen™ 9 PRO 5945,12,0,0,3,4.7,0,768,6,64,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 5 7535U,6,12,6,2.9,4.55,0,512,3,16,0,4,28,0,0,2,0,1900,0
on,AMD Ryzen™ 3 7335U,4,8,4,3,4.3,0,512,2,8,0,4,28,95,0,2,0,1800,0
on,AMD Ryzen™ 7 PRO 7730U,8,16,8,2,4.5,0,512,4,16,0,3,15,95,0,2,0,2000,0
on,AMD Ryzen™ 5 PRO 7530U,6,12,7,2,4.5,0,512,3,16,0,3,15,95,0,2,0,2000,0
on,AMD Ryzen™ 3 PRO 7330U,4,8,6,2.3,4.3,0,384,2,8,0,3,15,94.99,0,2,0,1800,0
on,AMD Ryzen™ 7 7730U,8,16,8,2,4.5,0,384,4,16,0,3,15,95,0,2,0,2000,0
on,AMD Ryzen™ 5 7530U,6,12,7,2,4.5,0,384,3,16,0,3,15,95,0,2,0,2000,0
on,AMD Ryzen™ 3 7330U,4,8,6,2.3,4.3,0,384,2,8,0,3,15,95,0,2,0,1800,0
on,AMD Ryzen™ 5 7520U,4,8,2,2.8,4.3,0,256,2,4,0,3,15,0,0,2,0,1900,0
on,AMD Ryzen™ 3 7320U,4,8,2,2.4,4.1,0,256,2,4,0,3,15,0,0,2,0,1900,0
on,AMD Ryzen™ Threadripper™ PRO 5995WX,64,128,0,2.7,4.5,0,4096,32,256,0,4,280,95,3200,8,0,0,0
on,AMD Ryzen™ Threadripper™ PRO 5975WX,32,64,0,3.6,4.5,0,2048,16,128,0,4,280,95,3200,8,0,0,0
on,AMD Ryzen™ Threadripper™ PRO 5965WX,24,48,0,3.8,4.5,0,1536,12,128,0,4,280,95,3200,8,0,0,0
on,AMD Ryzen™ Threadripper™ PRO 5955WX,16,32,0,4,4.5,0,1024,8,64,0,4,280,95,3200,8,0,0,0
on,AMD Ryzen™ Threadripper™ PRO 5945WX,12,24,0,4.1,4.5,0,765,6,64,0,4,280,95,3200,8,0,0,0
